method,episode,env_idx,steps,ep_return,success,safety_violations,failures_detected,recoveries_attempted,recoveries_succeeded,time_to_recover,planning_ms,wall_clock_s
mppi,0,3,70,-3.237143039703369,0,0,0,0,0,-1.0,5.706529994495213,2.9005050999694504
mppi,0,4,65,-3.719888687133789,0,0,0,0,0,-1.0,5.706529994495213,2.9005050999694504
mppi,0,5,69,-3.2204902172088623,0,0,0,0,0,-1.0,5.706529994495213,2.9005050999694504
mppi,0,6,64,-3.249605894088745,0,0,0,0,0,-1.0,5.706529994495213,2.9005050999694504
mppi,0,7,64,-3.4871907234191895,0,0,0,0,0,-1.0,5.706529994495213,2.9005050999694504
mppi,0,8,64,-3.1991777420043945,0,0,0,0,0,-1.0,5.706529994495213,2.9005050999694504
mppi,0,9,66,-3.323957920074463,0,0,0,0,0,-1.0,5.706529994495213,2.9005050999694504
mppi,0,10,57,-3.6818907260894775,0,0,0,0,0,-1.0,5.706529994495213,2.9005050999694504
mppi,0,11,62,-3.8300435543060303,0,0,0,0,0,-1.0,5.706529994495213,2.9005050999694504
mppi,0,12,57,-3.5856478214263916,0,0,0,0,0,-1.0,5.706529994495213,2.9005050999694504
mppi,0,13,66,-3.461014986038208,0,0,0,0,0,-1.0,5.706529994495213,2.9005050999694504
mppi,0,14,66,-3.321013927459717,0,0,0,0,0,-1.0,5.706529994495213,2.9005050999694504
mppi,0,15,65,-3.2401721477508545,0,0,0,0,0,-1.0,5.706529994495213,2.9005050999694504
mppi,1,0,63,-3.7740583419799805,0,0,0,0,0,-1.0,8.465659999222096,4.488454599981196
mppi,1,1,66,-3.5386948585510254,0,0,0,0,0,-1.0,8.465659999222096,4.488454599981196
mppi,1,2,67,-3.1932036876678467,0,0,0,0,0,-1.0,8.465659999222096,4.488454599981196
mppi,1,3,63,-3.375824451446533,0,0,0,0,0,-1.0,8.465659999222096,4.488454599981196
mppi,1,4,68,-3.4100565910339355,0,0,0,0,0,-1.0,8.465659999222096,4.488454599981196
mppi,1,5,67,-3.5856547355651855,0,0,0,0,0,-1.0,8.465659999222096,4.488454599981196
mppi,1,6,65,-3.5397322177886963,0,0,0,0,0,-1.0,8.465659999222096,4.488454599981196
mppi,1,7,63,-3.4507133960723877,0,0,0,0,0,-1.0,8.465659999222096,4.488454599981196
mppi,1,8,67,-3.2108917236328125,0,0,0,0,0,-1.0,8.465659999222096,4.488454599981196
mppi,1,9,65,-3.0053927898406982,0,0,0,0,0,-1.0,8.465659999222096,4.488454599981196
mppi,1,10,57,-3.919992685317993,0,0,0,0,0,-1.0,8.465659999222096,4.488454599981196
mppi,1,11,64,-3.602125883102417,0,0,0,0,0,-1.0,8.465659999222096,4.488454599981196
mppi,1,12,70,-4.048467636108398,0,0,0,0,0,-1.0,8.465659999222096,4.488454599981196
mppi,1,13,64,-3.441039562225342,0,0,0,0,0,-1.0,8.465659999222096,4.488454599981196
mppi,1,14,67,-3.208930015563965,0,0,0,0,0,-1.0,8.465659999222096,4.488454599981196
mppi,1,15,66,-3.634514570236206,0,0,0,0,0,-1.0,8.465659999222096,4.488454599981196
mppi,2,0,66,-3.588315486907959,0,0,0,0,0,-1.0,8.043769567334296,4.245972900011111
mppi,2,1,65,-3.5575006008148193,0,0,0,0,0,-1.0,8.043769567334296,4.245972900011111
mppi,2,2,63,-3.6861846446990967,0,0,0,0,0,-1.0,8.043769567334296,4.245972900011111
mppi,2,3,63,-3.735429048538208,0,0,0,0,0,-1.0,8.043769567334296,4.245972900011111
mppi,2,4,62,-3.5719118118286133,0,0,0,0,0,-1.0,8.043769567334296,4.245972900011111
mppi,2,5,69,-3.0908150672912598,0,0,0,0,0,-1.0,8.043769567334296,4.245972900011111
mppi,2,6,67,-3.537872076034546,0,0,0,0,0,-1.0,8.043769567334296,4.245972900011111
mppi,2,7,63,-3.279022693634033,0,0,0,0,0,-1.0,8.043769567334296,4.245972900011111
mppi,2,8,67,-3.4654171466827393,0,0,0,0,0,-1.0,8.043769567334296,4.245972900011111
mppi,2,9,67,-3.422128677368164,0,0,0,0,0,-1.0,8.043769567334296,4.245972900011111
mppi,2,10,59,-3.776435136795044,0,0,0,0,0,-1.0,8.043769567334296,4.245972900011111
mppi,2,11,60,-3.6715471744537354,0,0,0,0,0,-1.0,8.043769567334296,4.245972900011111
mppi,2,12,57,-4.339513778686523,0,0,0,0,0,-1.0,8.043769567334296,4.245972900011111
mppi,2,13,65,-3.611380100250244,0,0,0,0,0,-1.0,8.043769567334296,4.245972900011111
mppi,2,14,66,-3.176297187805176,0,0,0,0,0,-1.0,8.043769567334296,4.245972900011111
mppi,2,15,62,-3.5397205352783203,0,0,0,0,0,-1.0,8.043769567334296,4.245972900011111
gatsr_no_rec,0,0,63,-3.379748582839966,0,0,10,0,0,-1.0,5.53774857211725,2.975916800030973
gatsr_no_rec,0,1,60,-3.447648048400879,0,0,11,0,0,-1.0,5.53774857211725,2.975916800030973
gatsr_no_rec,0,2,61,-3.3776071071624756,0,0,10,0,0,-1.0,5.53774857211725,2.975916800030973
gatsr_no_rec,0,3,70,-3.237143039703369,0,0,10,0,0,-1.0,5.53774857211725,2.975916800030973
gatsr_no_rec,0,4,65,-3.719888687133789,0,0,10,0,0,-1.0,5.53774857211725,2.975916800030973
gatsr_no_rec,0,5,69,-3.2204902172088623,0,0,10,0,0,-1.0,5.53774857211725,2.975916800030973
gatsr_no_rec,0,6,64,-3.249605894088745,0,0,10,0,0,-1.0,5.53774857211725,2.975916800030973
gatsr_no_rec,0,7,64,-3.4871907234191895,0,0,10,0,0,-1.0,5.53774857211725,2.975916800030973
gatsr_no_rec,0,8,64,-3.1991777420043945,0,0,10,0,0,-1.0,5.53774857211725,2.975916800030973
gatsr_no_rec,0,9,66,-3.323957920074463,0,0,10,0,0,-1.0,5.53774857211725,2.975916800030973
gatsr_no_rec,0,10,57,-3.6818907260894775,0,0,9,0,0,-1.0,5.53774857211725,2.975916800030973
gatsr_no_rec,0,11,62,-3.8300435543060303,0,0,8,0,0,-1.0,5.53774857211725,2.975916800030973
gatsr_no_rec,0,12,57,-3.5856478214263916,0,0,8,0,0,-1.0,5.53774857211725,2.975916800030973
gatsr_no_rec,0,13,66,-3.461014986038208,0,0,9,0,0,-1.0,5.53774857211725,2.975916800030973
gatsr_no_rec,0,14,66,-3.321013927459717,0,0,10,0,0,-1.0,5.53774857211725,2.975916800030973
gatsr_no_rec,0,15,65,-3.2401721477508545,0,0,9,0,0,-1.0,5.53774857211725,2.975916800030973
gatsr_no_rec,1,0,63,-3.7740583419799805,0,0,10,0,0,-1.0,5.813288569749732,3.0929557000054047
gatsr_no_rec,1,1,66,-3.5386948585510254,0,0,10,0,0,-1.0,5.813288569749732,3.0929557000054047
