method,seed,ood_level,episode,steps,ep_return,success,failures_detected,recoveries_attempted,recoveries_succeeded,safety_violations,time_to_recover,planning_ms
mppi,0,0.5,5,44,-75.03494800424137,0,0,0,0,0,-1.0,17.083115911439315
mppi,0,0.5,6,49,-59.58081082594241,0,0,0,0,0,-1.0,19.068032655180716
mppi,0,0.5,7,38,-24.38767311235823,0,0,0,0,0,-1.0,16.596578948481596
mppi,0,0.5,8,37,-70.9657165920822,0,0,0,0,0,-1.0,17.947018922092646
mppi,0,0.5,9,54,26.267323941521624,0,0,0,0,0,-1.0,16.8159944468816
mppi,0,1.0,0,58,-56.578790715681414,0,0,0,0,0,-1.0,16.773618962455156
mppi,0,1.0,1,37,-71.58260796559743,0,0,0,0,0,-1.0,18.15650810021907
mppi,0,1.0,2,33,-80.31002805864479,0,0,0,0,0,-1.0,17.8954060591588
mppi,0,1.0,3,41,-69.65305572358483,0,0,0,0,0,-1.0,16.956348778543674
mppi,0,1.0,4,35,-81.97949775066769,0,0,0,0,0,-1.0,16.868617141153663
mppi,0,1.0,5,47,-73.65682860702526,0,0,0,0,0,-1.0,17.554202128172
mppi,0,1.0,6,49,-59.666693176638354,0,0,0,0,0,-1.0,17.956389797309754
mppi,0,1.0,7,39,-23.374670481156286,0,0,0,0,0,-1.0,18.343394869962374
mppi,0,1.0,8,36,-72.02355023138193,0,0,0,0,0,-1.0,17.36380555666983
mppi,0,1.0,9,45,21.280054682868013,0,0,0,0,0,-1.0,17.366106667193687
mppi,1,0.0,0,41,-68.8471357139732,0,0,0,0,0,-1.0,16.975726828649186
mppi,1,0.0,1,34,-79.33742960670028,0,0,0,0,0,-1.0,17.993805875234745
mppi,1,0.0,2,38,-71.46220805846255,0,0,0,0,0,-1.0,17.07512895288681
mppi,1,0.0,3,37,-80.69574089333943,0,0,0,0,0,-1.0,16.975089183983368
mppi,1,0.0,4,36,-79.95781717047245,0,0,0,0,0,-1.0,17.016900008052794
mppi,1,0.0,5,45,-63.313835734016614,0,0,0,0,0,-1.0,16.745540004275327
mppi,1,0.0,6,39,-23.68567792870462,0,0,0,0,0,-1.0,17.85568974595756
mppi,1,0.0,7,38,-70.13757971846033,0,0,0,0,0,-1.0,16.87448158688647
mppi,1,0.0,8,72,38.58758379620947,0,0,0,0,0,-1.0,16.59637500334712
mppi,1,0.0,9,42,-66.06912378336546,0,0,0,0,0,-1.0,16.66098571288222
mppi,1,0.5,0,39,-70.40061643468079,0,0,0,0,0,-1.0,17.043625638903812
mppi,1,0.5,1,32,-80.92516587468174,0,0,0,0,0,-1.0,17.59660625066317
mppi,1,0.5,2,40,-70.07032078524207,0,0,0,0,0,-1.0,16.758959997969214
mppi,1,0.5,3,35,-81.62140321905053,0,0,0,0,0,-1.0,17.31707428282659
mppi,1,0.5,4,33,-81.84280703953443,0,0,0,0,0,-1.0,17.696815151297912
mppi,1,0.5,5,43,-64.7227867424846,0,0,0,0,0,-1.0,17.295493018748456
mppi,1,0.5,6,39,-23.707944262736902,0,0,0,0,0,-1.0,17.255220514459488
mppi,1,0.5,7,38,-70.05471231713511,0,0,0,0,0,-1.0,17.27539999563688
mppi,1,0.5,8,62,30.73444841274737,0,0,0,0,0,-1.0,16.779403230400696
mppi,1,0.5,9,46,-62.27934568879303,0,0,0,0,0,-1.0,18.470367388901018
mppi,1,1.0,0,38,-71.1623839908248,0,0,0,0,0,-1.0,16.6537500014161
mppi,1,1.0,1,30,-81.7163306239924,0,0,0,0,0,-1.0,16.82209332745212
mppi,1,1.0,2,43,-67.54563913944688,0,0,0,0,0,-1.0,16.824362785988594
mppi,1,1.0,3,33,-82.99323503746369,0,0,0,0,0,-1.0,16.720924237178583
mppi,1,1.0,4,31,-82.90439673809618,0,0,0,0,0,-1.0,16.831993551609376
mppi,1,1.0,5,40,-67.61580156341068,0,0,0,0,0,-1.0,18.066292504954617
mppi,1,1.0,6,37,-25.32654452547213,0,0,0,0,0,-1.0,18.314629728666734
mppi,1,1.0,7,38,-70.26512566392796,0,0,0,0,0,-1.0,22.617607895211364
mppi,1,1.0,8,48,22.638131096475902,0,0,0,0,0,-1.0,21.900704163272167
mppi,1,1.0,9,44,-64.19694670221462,0,0,0,0,0,-1.0,19.299209086139772
mppi,2,0.0,0,45,-72.24933535986659,0,0,0,0,0,-1.0,19.445731111853902
mppi,2,0.0,1,45,-66.50411887316184,0,0,0,0,0,-1.0,20.102086663246155
mppi,2,0.0,2,60,-68.53275399862238,0,0,0,0,0,-1.0,19.2956299976989
mppi,2,0.0,3,40,-77.92499298524697,0,0,0,0,0,-1.0,20.795194996753708
mppi,2,0.0,4,44,-64.10251542249422,0,0,0,0,0,-1.0,19.87646818452049
mppi,2,0.0,5,60,-4.3036963716598535,0,0,0,0,0,-1.0,20.090516668278724
mppi,2,0.0,6,40,-67.98523223848781,0,0,0,0,0,-1.0,19.388844996865373
mppi,2,0.0,7,82,46.941629932926375,0,0,0,0,0,-1.0,18.752136584314542
mppi,2,0.0,8,39,-68.62983070533116,0,0,0,0,0,-1.0,22.042146145115392
mppi,2,0.0,9,49,-23.353622274583245,0,0,0,0,0,-1.0,19.551855099758097
mppi,2,0.5,0,37,-77.38843680462995,0,0,0,0,0,-1.0,19.7434648698372
mppi,2,0.5,1,42,-68.5468997662967,0,0,0,0,0,-1.0,21.38840000095245
